Clap, Swipe Down With Left, Swipe Down With Right, Swipe To Left, Swipe To Right, Swipe Up With Left, Swipe Up With Right, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.424496791641444, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.424334219485876, Infinity, 0.436938680284127, Infinity, 0.246375630810045, Infinity, Infinity, 
0.424099496381199, 0.475470749111995, 0.436786007889739, 0.323358978229557, 0.246310391454107, 0.305688099947713, Infinity, 
0.423799515570102, 0.475391413381505, 0.436522156693299, 0.323188176663559, 0.246169776971222, 0.305553424760262, 0.330874333697863, 
0.42346129835536, 0.475231078812284, 0.436234557565817, 0.322945577933467, 0.246007769604323, 0.305379948464491, 0.330688221444618, 
0.423121925685009, 0.47502825858842, 0.435980203617347, 0.322718393674786, 0.245844826275524, 0.305216891490005, 0.330461788854994, 
0.42281150295589, 0.474831744586502, 0.435770229974672, 0.322523165441378, 0.245699324869149, 0.305077640628151, 0.330264021617406, 
0.422485610746336, 0.474630811504456, 0.435561293541332, 0.322331353185818, 0.245518744638946, 0.304905368272664, 0.330055693111513, 
0.422157844743895, 0.474443490927844, 0.435356445474311, 0.32214746797244, 0.245328145582981, 0.304713371169276, 0.329837387586596, 
0.421885023425672, 0.474299753546128, 0.435188565262751, 0.322010625675166, 0.245157488411552, 0.30455079589706, 0.329648226967284, 
0.421747793308576, 0.474232872209839, 0.435090943469394, 0.321953334538043, 0.2450458214461, 0.304480308407973, 0.329547357833665, 
0.42163481868082, 0.474154378283993, 0.4349293626934, 0.321875074630946, 0.244903668114572, 0.30441626983668, 0.329433043554886, 
0.421556157101513, 0.474112191359764, 0.434757795814638, 0.321821580645645, 0.244776070635309, 0.304384324708682, 0.32935149511235, 
0.421524882038606, 0.474100451277701, 0.434631548359201, 0.321811654807294, 0.244699001494774, 0.304373942759811, 0.32931782468203, 
0.421518128527457, 0.474117068386204, 0.43453134397813, 0.321815755595099, 0.24462867884672, 0.304379650247933, 0.3293024570548, 
0.421484954455091, 0.474141036145369, 0.434429675760972, 0.321831498821963, 0.244437677147422, 0.304308573602048, 0.329247949238164, 
0.421438158398472, 0.474174394458708, 0.434401899341505, 0.321853239525175, 0.24416809868513, 0.304176052244512, 0.329205198366429, 
