Clap, Swipe Down R, Swipe L, Swipe R, Swipe Up R, Wave L, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.243961297495769, 0.383354130899633, Infinity, Infinity, Infinity, Infinity, 
0.243528685698571, 0.383399461450956, Infinity, Infinity, Infinity, Infinity, 
0.242742556263396, 0.383403574931082, Infinity, Infinity, 0.351330428654455, Infinity, 
0.241612489574108, 0.383293122565164, 0.292376278399854, Infinity, 0.351059385521946, Infinity, 
0.240108279086184, 0.383202422616093, 0.291758983198353, Infinity, 0.350652953406748, Infinity, 
0.237671804244474, 0.383188572615722, 0.290745331836328, 0.17306803337929, 0.35028345905804, Infinity, 
0.233444000988026, 0.383448971648905, 0.289540981274141, 0.171462510628401, 0.350221291477035, Infinity, 
0.226689496777268, 0.384354454585955, 0.288843013138125, 0.168670879150622, 0.350354654863286, Infinity, 
0.219619808536442, 0.385737271648235, 0.288532969604428, 0.164590025616957, 0.350775262096515, 0.513010812316414, 
0.215361283282832, 0.387283557704119, 0.28839858852356, 0.159070264842116, 0.351214731673435, 0.512952562259796, 
0.213305676013144, 0.389297305508237, 0.288363965608658, 0.152375606698609, 0.3517262460957, 0.51294043616524, 
0.21274274391684, 0.391169970805507, 0.288336230162453, 0.144907246272392, 0.352239359600386, 0.512883277393407, 
0.212714194229022, 0.393063114736502, 0.288334418401711, 0.137792557785771, 0.352678490868116, 0.512866436305263, 
0.213126728483692, 0.396068204620719, 0.288461357682065, 0.132736671696988, 0.353184987286881, 0.512789315769605, 
